,country,population,area,inequality,density
1,Albania,2935145.731,28631912250,0.731337417,102.5130877
2,Algeria,39666516.02,2.317E+12,0.944586279,17.11978377
3,American Samoa,55846.99614,161798465.9,0,345.163941
4,Angola,29245336.34,1.24678E+12,0.904985126,23.45671399
5,Anguilla,15266.00311,91289240.5,0,167.2267512
6,Antigua and Barbuda,96413.00292,536887983.6,0.478711154,179.577502
7,Argentina,45516876.91,2.78095E+12,0.923069289,16.36740951
8,Aruba,105396.9788,199573022.6,0,528.1123542
9,Australia,25588322.38,7.68685E+12,0.983219175,3.328843975
10,Austria,8655692.591,83456762225,0.66107758,103.7146944
11,"Bahamas, The",409628.9984,12130782446,0.949353982,33.767731
12,Bahrain,1486111.027,599208643.6,0.459708969,2480.122814
13,Bangladesh,170466779.9,1.37879E+11,0.501063413,1236.354825
14,Barbados,287646.9597,415024196.2,0,693.0847945
15,Belgium,11634330.83,30524648993,0.594783638,381.145442
16,Belize,397879.979,21731779255,0.652865354,18.30867019
17,Benin,12360725.7,1.15947E+11,0.674176756,106.6070443
18,Bhutan,817338.9296,38350818122,0.673602844,21.31216411
19,Bolivia,11548291.98,1.08652E+12,0.894216995,10.62869596
20,Bosnia and Herzegovina,3758147.387,51527326887,0.600512141,72.93503495
21,Botswana,2460222.467,5.77589E+11,0.909402067,4.259469268
22,Brazil,214494623.5,8.47227E+12,0.88916704,25.3172522
23,British Virgin Islands,32643.00492,68699901.82,0,475.1535891
24,Brunei,448040.6147,5712207810,0.853800253,78.43562937
25,Bulgaria,6884343.377,1.11023E+11,0.619364732,62.00822138
26,Burkina Faso,18105566.39,2.72341E+11,0.544767722,66.48118321
27,Burundi,13126275.55,26799813608,0.467401824,489.7898074
28,Cambodia,16794250.76,1.81602E+11,0.691877672,92.47852041
29,Cameroon,26332960.44,4.64756E+11,0.804067066,56.65969783
30,Cape Verde,552850.026,4031295257,0.728175747,137.1395521
31,Cayman Islands,63890.99689,174286206.7,0,366.5866514
32,Central African Republic,4900273.891,6.18572E+11,0.822620217,7.921912965
33,Chad,14037472.19,1.27018E+12,0.834994322,11.05158652
34,Chile,18835285.32,7.44345E+11,0.949569088,25.30452349
35,Colombia,50228335.4,1.13483E+12,0.877500811,44.26064406
36,Comoros,883162.0463,1534813559,0.617259265,575.4197579
37,Congo,77266815.37,3.44021E+11,0.979337446,224.5994188
38,Cook Islands,20910.61548,112898649.3,0.819799074,185.2158162
39,Costa Rica,5043682.581,50933045913,0.781038738,99.02574037
40,Croatia,4162498.766,55888989557,0.692504876,74.47797498
41,Czech Republic,10571814.26,78752126914,0.563497122,134.2416348
42,Djibouti,946669.2162,21418246662,0.819987966,44.19919292
43,Dominica,74323.00245,764275666.6,0.065836891,97.24632838
44,Dominican Republic,11104040.25,48302253115,0.739004586,229.8865899
45,Ecuador,17321780.18,2.5531E+11,0.816012436,67.84618771
46,Egypt,91504700.87,9.98391E+11,0.962410331,91.65217686
47,El Salvador,6230898.847,20478012502,0.616373544,304.2726361
48,Equatorial Guinea,970827.9878,26629570123,0.698324332,36.45676529
49,Eritrea,5891500.37,1.20904E+11,0.783753283,48.72871211
50,Estonia,1294982.5,45855886271,0.79452149,28.24026761
51,Ethiopia,111971068.7,1.12755E+12,0.698859873,99.30490588
52,Federated States of Micronesia,106150.8015,516236433.3,0.361754217,205.6243896
53,Fiji,898318.0029,18028329534,0.746923904,49.82813306
54,France,65719990.04,5.47596E+11,0.640627038,120.0155366
55,French Guiana,304198.0205,83593665159,0.941145656,3.639008051
56,French Polynesia,296080.5014,1939070284,0.76011892,152.6919905
57,Gabon,1725292.107,2.60386E+11,0.898910836,6.625913959
58,"Gambia, The",2325502.958,10700139749,0.691498076,217.3338865
59,Germany,80392210.01,3.57197E+11,0.577475527,225.0639291
60,Ghana,30530452.64,2.39033E+11,0.68248614,127.7248209
61,Greece,10825410,1.29549E+11,0.7843278,83.56240854
62,Grenada,109386.9793,346262488.9,0,315.9076794
63,Guadeloupe,419072.6126,1460784856,0.407459986,286.8818163
64,Guam,180367.5365,503195988.9,0.394590984,358.4439075
65,Guatemala,18014916.92,1.08915E+11,0.674921613,165.4039394
66,Guinea,12608594.39,2.45033E+11,0.64106544,51.45670645
67,Guinea-Bissau,2068363.32,32945380958,0.698853322,62.78158758
68,Guyana,784558.1472,2.10381E+11,0.946140474,3.729223777
69,Haiti,11378335.37,26846258500,0.533748675,423.8331896
70,Honduras,8649449.899,1.12198E+11,0.675986206,77.09085746
71,Hungary,9684937.854,92646812350,0.554412927,104.5361153
72,Iceland,342140.9882,1.02942E+11,0.936592841,3.323615686
73,Indonesia,271857456.6,1.89046E+12,0.845361993,143.8050193
74,Iraq,41972385.32,4.35848E+11,0.852080252,96.30044373
75,Italy,59532091.89,2.99989E+11,0.635599065,198.447533
76,Ivory Coast,25565565.08,3.20764E+11,0.600777593,79.70206589
77,Jamaica,2840110.19,10940193246,0.466674239,259.6032928
78,Japan,125039004.6,3.71207E+11,0.807160096,336.844545
79,Jordan,8166791.324,89097140420,0.935623656,91.66165474
80,Kazakhstan,18616170.53,2.72292E+12,0.923512529,6.83682967
81,Kenya,46050303.59,5.8183E+11,0.800527771,79.14729926
82,Kiribati,107798.1711,297356982,NA,362.5210693
83,Kuwait,4316617.777,16139443985,0.873390906,267.457651
84,Kyrgyzstan,6383562.743,1.9954E+11,0.842802639,31.99141689
85,Laos,6961815.448,2.29439E+11,0.625971031,30.34274119
86,Latvia,1918948.535,64637910831,0.708957061,29.68766333
87,Lebanon,5891480.766,9962729812,0.658495363,591.3520568
88,Lesotho,2257685.17,30273872681,0.547678088,74.57536716
89,Liberia,5090854.753,95323182851,0.666323598,53.40626069
90,Libya,6278439.158,1.61746E+12,0.9682263,3.881673414
91,Liechtenstein,38754.99568,176406616.3,0,219.691282
92,Lithuania,2794897.603,64809628037,0.610953017,43.12472834
93,Macau,633521.0105,4471718.575,0,141672.8266
94,Macedonia,2088374.082,25395801319,0.612785927,82.23304537
95,Madagascar,24235393.85,5.92965E+11,0.628621319,40.87155059
96,Malawi,17215167.43,1.18473E+11,0.60654487,145.3086336
97,Malaysia,32374473.7,3.28499E+11,0.826781083,98.55271414
98,Maldives,264496.8798,31534177.05,0.946856365,8387.625889
99,Mali,17599693.14,1.25186E+12,0.840486391,14.05884348
100,Malta,422959.9948,294399820.1,0,1436.685643
101,Marshall Islands,53263.00404,31741438.65,0.844597468,1678.027408
102,Mauritania,4067563.696,1.03835E+12,0.921847666,3.917345258
103,Mauritius,1291361.31,1788034778,0.340672288,722.2238212
104,Mayotte,273172.0101,342546630.6,0,797.473937
105,Mexico,134817379,1.95687E+12,0.874710948,68.89448097
106,Moldova,4020988.202,33684608692,0.50538043,119.3716762
107,Monaco,38482.00126,9271004.715,0,4150.79082
108,Mongolia,3178904.273,1.56291E+12,0.924658045,2.033971319
109,Montserrat,5247.000078,112573235.5,0,46.60965863
110,Mozambique,31993001.5,7.86301E+11,0.714593185,40.68798568
111,Namibia,2730630.399,8.23607E+11,0.900125251,3.315452047
112,Nauru,10406.99959,27163322.64,0,383.1268999
113,Nepal,30184363.18,1.46982E+11,0.727825926,205.3603435
114,Netherlands,17185109.83,35356911728,0.539616662,486.0466876
115,New Caledonia,279577.0186,18739582936,0.839632611,14.91906301
116,New Zealand,4723974.208,2.68733E+11,0.908807984,17.57871425
117,Nicaragua,6417989.335,1.27994E+11,0.707447965,50.14276395
118,Niger,19899121.62,1.18182E+12,0.873881245,16.83768746
119,Nigeria,206830995,9.07652E+11,0.629070326,227.874709
120,Northern Mariana Islands,55751.78823,156721392.4,0,355.7382139
121,Oman,4815875.877,3.08327E+11,0.885913512,15.61936517
122,Pacific Islands (Palau),22113.87883,352277025.2,0.031676941,62.77411597
123,Panama,4230971.172,73876440236,0.817340164,57.27091287
124,Papua New Guinea,8412725.424,4.61498E+11,0.783348245,18.22916231
125,Paraguay,7067097.137,3.9877E+11,0.883269795,17.7222569
126,Peru,33317107.48,1.29068E+12,0.884029956,25.81354091
127,Philippines,107237751.4,2.92258E+11,0.697703644,366.9284701
128,Poland,38407264.27,3.1158E+11,0.555328151,123.2659755
129,Portugal,10115201.41,91784317158,0.759460971,110.2062065
130,Puerto Rico,3629006.97,8131380954,0.418337466,446.2965136
131,Qatar,2452179.865,10059779474,0.864237612,243.7607973
132,Reunion,861154.0539,2619290877,0.398969138,328.7737385
133,Romania,18847506.09,2.37377E+11,0.746065463,79.39900296
134,Rwanda,11609664.66,25072425133,0.414602272,463.0451422
135,San Marino,32473.00216,59865076.3,0,542.4364949
136,Sao Tome and Principe,211039.0467,1142075801,0.582168942,184.7854989
137,Saudi Arabia,34366241.97,1.95433E+12,0.925828639,17.58467815
138,Senegal,15129270.97,1.96015E+11,0.752118008,77.18427804
139,Serbia,6641618.162,88030939983,0.706655994,75.44640741
140,Seychelles,96471.00926,216144839.3,0.666298514,446.3257582
141,Sierra Leone,7160373.004,72294086342,0.579080371,99.04507224
142,Singapore,6006709.708,448714607.6,0,13386.48131
143,Slovakia,5435296.745,48032562259,0.501509301,113.1585843
144,Solomon Islands,638377.9019,26982397822,0.707646147,23.6590501
145,South Africa,56634575.21,1.22118E+12,0.865182661,46.37681442
146,South Korea,51251480.17,97235652562,0.787986709,527.0852699
147,Spain,46193539.33,5.06153E+11,0.766458965,91.26393918
148,Sri Lanka,21125616.65,66038667886,0.607429935,319.89768
149,St. Kitts and Nevis,58472.99948,195609786.3,0,298.9267591
150,St. Lucia,191765.0084,635278109.6,0.194413114,301.8599343
151,St. Vincent and the Grenadines,110741.0355,341946582.1,0,323.8547812
152,Suriname,564887.9377,1.44557E+11,0.966525154,3.907730123
153,Swaziland,1366265.931,16080922926,0.426507772,84.96191028
154,Switzerland,8653803.059,41470501768,0.661542125,208.6737003
155,Taiwan,23402447.8,35985938514,0.777203383,650.3220081
156,Tajikistan,9419131.805,1.42381E+11,0.837011956,66.15418565
157,"Tanzania, United Republic of",53464303.3,9.41203E+11,0.705411744,56.80420666
158,Thailand,68581372.67,5.12072E+11,0.639926308,133.9291917
159,Togo,8293638.238,57097063955,0.681485458,145.2550738
160,Tonga,110760.9709,456502212.6,0.594488478,242.6296474
161,Trinidad and Tobago,1377746.784,4770448097,0.523172297,288.8086729
162,Tunisia,11253551.64,1.55041E+11,0.755325997,72.58448146
163,Turkmenistan,5685337.053,4.71669E+11,0.924826394,12.05366396
164,Turks and Caicos Islands,36955.0035,286070042,0.455130023,129.1816621
165,Tuvalu,9462.858352,28985248.2,0.8,326.4715309
166,Uganda,45842594.41,2.42075E+11,0.5992916,189.3734834
167,United Arab Emirates,9822013.573,70076022412,0.847385182,140.1622586
168,United Kingdom,66336531.75,2.44349E+11,0.768619875,271.4830453
169,United States,331821325.7,9.4658E+12,0.901112133,35.05475804
170,Uruguay,3493965.313,1.77154E+11,0.886119397,19.72275954
171,Uzbekistan,31767437.34,4.46613E+11,0.870557469,71.12968168
172,Vanuatu,293537.8159,12122321557,0.752015358,24.21465348
173,Vietnam,98156614.05,3.2413E+11,0.694627658,302.8311011
174,Virgin Islands,107015.0171,194974924.9,0,548.8655382
175,Wallis and Futuna,13089.99824,58403.84507,0,224129.0487
176,Western Samoa,199151.9837,2457372700,0.545375275,81.04264516
177,Zambia,18882330.7,7.51918E+11,0.755703729,25.11220412
178,Zimbabwe,17470710.11,3.8941E+11,0.627869159,44.86460066
